step,queue,reward,waiting_time,avg_speed,throughput
0,0.0,0.0,0.0,0.0,0
50,10.999999999999998,-831.9999999999999,4.0,4.5973243684047755,0
100,7.999999999999999,-1716.2549999999997,21.0,7.882464822302553,0
150,9.999999999999998,-2917.8749999999986,51.0,8.040355645824954,3
200,9.0,-3922.0449999999983,103.0,6.003705507588579,1
250,9.0,-5070.049999999998,130.0,4.817718331518463,1
300,13.0,-6168.544999999997,255.0,3.512648673184706,0
350,9.0,-7278.0549999999985,278.0,3.4847407882783084,0
400,13.0,-8358.334999999995,374.0,2.5465977928705272,1
450,12.0,-9446.724999999997,361.0,2.162161946100019,1
500,10.0,-10656.419999999996,42.0,3.453375907828826,1
550,10.0,-11661.744999999995,32.0,7.476687121071951,1
600,10.999999999999998,-12933.854999999987,60.0,7.799301357398965,2
650,10.999999999999998,-13948.334999999986,93.0,5.968900945561144,1
700,9.0,-15119.909999999987,146.0,4.483693437886714,2
750,12.0,-16145.19999999999,205.0,3.8001044528062558,0
800,10.0,-17251.699999999975,276.0,3.076587786636014,0
850,13.0,-18395.504999999986,408.0,2.6756104751648753,1
900,10.999999999999998,-19523.429999999997,364.0,2.1193532592015063,0
950,12.0,-20712.47999999999,54.0,4.032357248680469,0
1000,10.0,-21730.185,31.0,7.291879002322339,0
1050,10.999999999999998,-22970.025000000016,41.0,8.056272926063913,2
1100,12.0,-23910.53000000001,86.0,5.7374639940499685,0
1150,9.0,-25102.20000000003,144.0,4.761092994905723,2
1200,13.0,-26202.45000000004,233.0,3.3457122968856687,0
1250,9.999999999999998,-27328.51000000003,272.0,3.422835801530166,1
1300,13.0,-28449.73000000003,408.0,2.585810476824857,1
1350,12.0,-29459.32500000001,306.0,2.3786738030196974,1
1400,12.0,-30721.240000000013,55.0,3.4048343574896105,1
1450,8.0,-31759.03500000001,31.0,6.9460891322211245,1
1500,9.999999999999998,-32979.770000000004,43.0,7.722952815147767,3
1550,11.0,-33978.63500000002,102.0,5.128686970444002,2
1600,9.0,-35138.21000000002,123.0,5.091217164934804,4
1650,13.0,-36242.99000000001,256.0,3.3306799090098176,1
1700,10.999999999999998,-37400.69000000003,293.0,2.533015812816768,0
1750,13.0,-38527.32500000001,390.0,2.7347941604819064,1
1800,10.999999999999998,-39588.34,362.0,2.3648014746829458,1
1850,10.999999999999998,-40725.67999999999,60.0,3.669826588868566,0
1900,10.0,-41684.77999999998,29.0,7.364419082205142,0
1950,9.999999999999998,-42916.459999999955,43.0,8.688534915170356,1
