step,queue,reward,waiting_time,avg_speed,throughput
0,0.0,0.0,0.0,0.0,0
50,6.0,-554.915,8.0,7.244873996210441,1
100,10.0,-1300.795,60.0,5.818656413240783,1
150,6.0,-2070.500000000001,2.0,8.206266795138017,1
200,9.0,-2816.2700000000013,52.0,6.565145709226462,0
250,6.000000000000001,-3514.8250000000016,6.0,7.274551866348882,3
300,9.0,-4254.740000000001,59.0,4.928499889066683,2
350,7.999999999999999,-4991.9100000000035,5.0,6.542584820506411,0
400,7.999999999999999,-5666.920000000005,42.0,6.153695983918214,2
450,7.999999999999999,-6381.970000000008,4.0,6.330877513812234,1
500,9.0,-7090.8950000000095,43.0,6.092120302803154,0
550,6.000000000000001,-7820.22000000001,1.0,7.435821402252912,0
600,8.0,-8464.095000000012,20.0,7.295439210305342,0
650,7.0,-9130.600000000011,1.0,6.568106956281714,1
700,9.0,-9842.94000000001,33.0,6.77219615427837,2
750,6.0,-10583.860000000004,0.0,6.4019534473692525,0
800,8.0,-11237.56,28.0,6.360028765958219,1
850,5.0,-11966.909999999994,0.0,7.262402800993714,0
900,9.0,-12667.339999999997,32.0,6.658161496243337,0
950,7.0,-13394.85499999999,0.0,6.312111197261809,0
1000,5.0,-14130.039999999985,18.0,6.631498701222642,2
1050,6.0,-14812.304999999982,3.0,6.125190304655176,0
1100,7.0,-15510.894999999979,26.0,6.778518864279298,0
1150,5.0,-16237.659999999978,0.0,6.670711615661712,1
1200,6.000000000000001,-16956.954999999976,31.0,6.948942026455303,1
1250,7.000000000000001,-17692.44999999997,1.0,6.844603185459687,1
1300,7.999999999999999,-18408.074999999975,22.0,7.371098788576754,1
1350,7.999999999999999,-19188.289999999964,2.0,5.368824218626543,0
1400,8.0,-19925.714999999953,26.0,7.179732561688903,4
1450,6.0,-20666.53999999995,1.0,5.180894198457428,1
1500,8.0,-21378.669999999947,26.0,7.150793777186562,2
1550,6.000000000000001,-22092.069999999952,2.0,5.964988860066582,0
1600,7.000000000000001,-22818.414999999957,22.0,8.62584645030271,1
1650,7.0,-23511.85499999996,2.0,5.869303009145111,1
1700,7.000000000000001,-24214.739999999958,22.0,8.099241164364482,2
1750,7.000000000000001,-24965.729999999952,8.0,5.317723449005698,1
1800,6.0,-25633.22499999995,20.0,8.206708261649577,2
1850,6.0,-26356.804999999953,6.0,4.027644759532759,0
1900,7.000000000000001,-27106.15999999995,20.0,8.468619875949166,1
1950,7.000000000000001,-27809.304999999946,4.0,5.410369880533458,0
