step,queue,reward,waiting_time,avg_speed,throughput
0,0.0,0.0,0.0,0.0,0
50,4.0,-532.385,5.0,7.152573844402135,0
100,6.000000000000001,-862.8699999999999,53.0,4.47123124201236,0
150,2.0,-1496.4899999999998,50.0,6.893868262285757,2
200,8.0,-1922.8249999999994,193.0,2.2449288890782837,1
250,2.0,-2463.490000000001,87.0,8.114570469501704,1
300,7.000000000000001,-2980.0150000000003,338.0,3.121641519358753,1
350,3.0000000000000004,-3404.075000000001,126.0,7.676733556978941,1
400,7.000000000000001,-4033.715000000001,609.0,2.8720596019541498,1
450,4.0,-4386.240000000001,121.0,5.344190052693281,0
500,3.0000000000000004,-5076.259999999999,50.0,5.8311938228196,0
550,6.0,-5409.5099999999975,46.0,4.459745382004433,0
600,3.0000000000000004,-6067.290000000001,48.0,7.282718498965933,3
650,7.000000000000001,-6507.224999999999,187.0,3.8282991144618426,0
700,2.0,-7034.305,82.0,7.594540529763758,1
750,6.000000000000001,-7573.815000000001,319.0,3.596650091505863,0
800,2.0,-8000.005000000003,120.0,6.131395197649815,1
850,7.000000000000001,-8607.445000000003,567.0,3.065153499269609,0
900,3.0000000000000004,-8950.745000000004,120.0,6.633316995423826,3
950,3.0000000000000004,-9632.510000000006,42.0,6.2300816402188,1
1000,5.0,-9958.415,59.0,4.658571454399539,0
1050,3.0000000000000004,-10601.230000000005,57.0,7.584782844959706,2
1100,8.0,-11024.960000000005,150.0,2.926578493846163,0
1150,3.0000000000000004,-11546.045000000004,87.0,8.21401777117044,0
1200,7.000000000000001,-12072.800000000007,336.0,3.0171508090076866,0
1250,3.0000000000000004,-12513.670000000007,131.0,6.867498107917191,0
1300,6.000000000000001,-13155.355000000001,583.0,2.9638208086897686,0
1350,4.0,-13501.190000000002,122.0,6.139591363603816,0
1400,4.0,-14187.710000000006,44.0,6.276196684691166,1
1450,8.0,-14518.715000000007,41.0,4.683865306569877,0
1500,3.0000000000000004,-15152.855000000009,46.0,7.903567199895346,2
1550,7.000000000000001,-15596.91000000001,187.0,3.081649161658125,0
1600,3.0000000000000004,-16123.140000000007,79.0,7.945740728799029,0
1650,7.000000000000001,-16642.24000000001,338.0,3.239802767055463,1
1700,2.0,-17082.15500000001,123.0,6.5182197587276045,1
1750,6.000000000000001,-17720.564999999995,616.0,2.8302228567450944,1
1800,3.0000000000000004,-18062.139999999992,122.0,5.9275681958120545,0
1850,4.0,-18737.67499999998,40.0,5.8643725364601345,0
1900,7.000000000000001,-19084.10999999998,60.0,3.9619488029991135,0
1950,2.0,-19724.639999999978,39.0,7.450419637126156,2
2000,8.0,-20141.714999999986,145.0,3.0846765553524738,0
2050,3.0000000000000004,-20671.134999999987,84.0,7.83865971157273,0
2100,7.000000000000001,-21195.909999999985,358.0,2.6737716156163347,0
2150,2.0,-21626.60999999998,125.0,7.065737759845881,0
2200,6.000000000000001,-22245.63999999997,553.0,2.9137513379155133,1
2250,3.0000000000000004,-22587.414999999968,125.0,5.843315884693519,0
2300,3.0000000000000004,-23275.044999999973,41.0,6.267555720616738,1
2350,6.0,-23598.454999999976,38.0,4.362568971994101,0
2400,2.0,-24220.61999999997,45.0,7.3407462782144774,2
2450,7.000000000000001,-24664.23499999997,181.0,3.2691324739577143,0
2500,3.0000000000000004,-25189.53999999997,86.0,7.598615880386551,2
2550,7.000000000000001,-25704.289999999964,349.0,2.872994035646209,1
2600,2.0,-26133.28999999996,125.0,7.810591116444992,1
2650,6.000000000000001,-26769.97999999996,546.0,3.0484538666576264,0
2700,4.0,-27116.684999999958,122.0,5.3414047236986395,0
2750,3.0000000000000004,-27808.289999999957,49.0,5.911375872722133,0
2800,6.0,-28127.749999999953,45.0,4.3324762323670845,0
2850,3.0000000000000004,-28764.974999999948,44.0,8.159385005808275,2
2900,8.0,-29212.744999999944,191.0,3.0986838577703733,0
2950,3.0000000000000004,-29751.464999999942,89.0,7.659145822392476,1
3000,7.000000000000001,-30274.534999999934,378.0,2.9056536054199533,0
3050,2.0,-30705.17999999993,129.0,7.013469795841353,2
3100,7.000000000000001,-31341.314999999922,547.0,2.8999976830232117,1
3150,3.0000000000000004,-31673.244999999926,119.0,5.681390135588298,2
3200,4.0,-32347.794999999925,51.0,5.792228485413773,1
3250,7.000000000000001,-32689.05999999993,50.0,4.557264668695498,0
3300,2.0,-33321.04999999992,44.0,7.578291038945114,2
