step,queue,reward,waiting_time,avg_speed,throughput
0,0.0,0.0,0.0,0.0,0
50,3.0000000000000004,-246.14000000000004,148.0,7.316316854719861,1
100,2.0,-595.7200000000001,127.0,7.827780870227264,0
150,2.0,-949.9450000000002,99.0,7.45454609825855,1
200,2.0,-1228.9000000000003,110.0,7.867613045067855,1
250,2.0,-1580.8650000000005,83.0,8.371721857454903,0
300,3.0000000000000004,-1935.6750000000006,58.0,6.707920788397071,1
350,3.0000000000000004,-2292.740000000001,26.0,6.94364316722274,2
400,5.0,-2634.6950000000015,37.0,3.670953281427389,1
450,4.0,-2937.990000000003,12.0,5.853896648615371,0
500,3.0000000000000004,-3289.675000000002,165.0,6.993714958842498,0
550,2.0,-3639.6000000000013,127.0,7.02349964736303,0
600,3.0000000000000004,-3983.7650000000017,103.0,7.902120921331078,0
650,2.0,-4332.370000000002,75.0,8.26687301945245,2
700,2.0,-4675.395000000002,55.0,7.142724898563475,1
750,3.0000000000000004,-4992.630000000003,27.0,6.5783606067934866,0
800,3.0000000000000004,-5338.875000000002,16.0,7.204491170525988,1
850,7.000000000000001,-5677.1200000000035,54.0,4.01256394378216,0
900,5.0,-6001.950000000004,50.0,5.850931701668481,2
950,3.0000000000000004,-6335.980000000007,179.0,7.634126715756995,0
1000,3.0000000000000004,-6715.960000000006,135.0,7.082621932847897,1
1050,2.0,-7056.130000000005,93.0,7.61248017558684,0
1100,2.0,-7409.135000000005,71.0,7.394794330055474,0
1150,2.0,-7783.695000000006,53.0,6.364989291935862,2
1200,4.0,-8144.050000000006,8.0,6.469986352678792,1
1250,8.0,-8483.150000000005,53.0,4.476859617094719,0
1300,4.0,-8794.060000000007,12.0,6.054931410521576,0
1350,3.0000000000000004,-9121.305000000008,157.0,7.817998579039473,0
1400,3.0000000000000004,-9492.59500000001,133.0,6.735987395077408,3
1450,3.0000000000000004,-9858.435000000009,100.0,7.731779281393416,3
1500,2.0,-10184.30500000001,85.0,8.156610487651289,2
1550,2.0,-10523.530000000008,67.0,7.5193501905876,0
1600,2.0,-10877.295000000007,50.0,7.0242079610117,1
1650,3.0000000000000004,-11222.565000000011,29.0,7.230986682382021,1
1700,4.0,-11573.155000000013,14.0,6.529360056548767,0
1750,7.000000000000001,-11913.715000000013,51.0,4.439976906665025,0
1800,4.0,-12218.255000000012,6.0,5.606178045994874,1
1850,3.0000000000000004,-12553.785000000016,188.0,6.430949109847709,0
1900,3.0000000000000004,-12924.370000000014,148.0,6.394960364615708,1
1950,2.0,-13253.100000000013,177.0,6.85764813320934,0
2000,3.0000000000000004,-13641.45000000001,132.0,7.3060289417632545,1
2050,2.0,-14025.085000000006,82.0,7.588666956953281,1
2100,3.0000000000000004,-14384.42000000001,34.0,6.968217190304127,0
2150,5.0,-14739.680000000008,15.0,5.243539555286998,0
2200,6.0,-15053.34500000001,26.0,5.851110651364877,0
2250,4.0,-15391.855000000012,173.0,6.024183550155137,0
2300,2.0,-15744.625000000013,136.0,7.967950672150582,1
2350,2.0,-16036.530000000006,177.0,7.372478981618318,0
2400,2.0,-16420.010000000002,129.0,7.132661327367135,2
2450,3.0000000000000004,-16788.270000000004,102.0,7.4756813432705504,2
2500,3.0000000000000004,-17171.239999999998,66.0,7.212859867574822,1
2550,3.0000000000000004,-17517.644999999997,25.0,6.62670606031286,3
2600,3.0000000000000004,-17842.309999999998,11.0,6.883292934599928,0
2650,5.0,-18175.085,25.0,3.926898365727991,1
2700,6.000000000000001,-18487.134999999995,6.0,5.294343520528615,1
2750,3.0000000000000004,-18814.609999999993,160.0,6.192165443582786,0
2800,2.0,-19179.234999999993,134.0,7.583069428320956,0
2850,2.0,-19504.77,150.0,7.798251026819574,1
2900,2.0,-19875.285000000003,112.0,7.651326301882951,0
2950,2.0,-20186.77500000001,89.0,8.22217074095772,1
3000,2.0,-20509.340000000007,65.0,7.553371940775559,0
3050,2.0,-20868.670000000006,42.0,7.036925593999428,0
3100,2.0,-21202.345000000005,13.0,7.12089949671925,0
3150,4.0,-21547.085000000006,11.0,6.000613486090145,0
3200,6.0,-21863.735000000015,30.0,4.638833232420145,1
3250,5.0,-22188.005000000012,89.0,5.444081907532424,0
3300,3.0000000000000004,-22525.120000000017,145.0,7.225511986696289,0
3350,3.0000000000000004,-22872.135000000017,124.0,7.280632392880188,2
3400,3.0000000000000004,-23151.83500000001,174.0,7.0980070198495255,1
3450,3.0000000000000004,-23521.320000000007,125.0,7.194250887470989,0
3500,3.0000000000000004,-23879.21000000001,77.0,7.855566349172957,1
3550,2.0,-24214.095000000012,50.0,6.645695528222983,1
3600,3.0000000000000004,-24483.180000000015,82.0,7.07601979674071,0
3650,2.0,-24865.460000000006,51.0,6.663212024258837,1
3700,3.0000000000000004,-25206.010000000006,29.0,6.412116722878211,2
3750,4.0,-25545.135000000002,3.0,5.69180350287981,0
3800,6.0,-25873.775,31.0,4.5163038958785835,1
3850,4.0,-26179.465000000004,7.0,5.602790640819476,0
3900,3.0000000000000004,-26515.910000000014,181.0,5.803737837144893,1
3950,2.0,-26873.45000000002,141.0,7.323638777837381,1
4000,3.0000000000000004,-27226.295000000024,118.0,7.128289976722821,1
4050,3.0000000000000004,-27515.345000000034,116.0,7.142644509180484,0
4100,3.0000000000000004,-27892.740000000034,103.0,7.971156470510075,0
4150,2.0,-28256.15500000002,61.0,7.477100707866365,1
4200,3.0000000000000004,-28624.58500000002,49.0,7.198325302645158,1
4250,2.0,-28927.75500000002,29.0,6.797373484817556,0
4300,3.0000000000000004,-29296.39000000002,3.0,6.844336355957423,1
4350,6.0,-29615.83500000003,42.0,4.39895080224535,0
4400,4.0,-29917.955000000027,8.0,5.330031130140845,0
4450,3.0000000000000004,-30265.840000000033,157.0,7.618459296443381,1
4500,3.0000000000000004,-30629.325000000037,125.0,7.351253674806784,0
4550,3.0000000000000004,-30964.250000000036,186.0,6.967101634173733,1
4600,3.0000000000000004,-31353.86500000003,118.0,7.786519093752904,2
4650,3.0000000000000004,-31699.37000000003,64.0,7.317659170009393,2
4700,3.0000000000000004,-32059.575000000033,43.0,6.785408616338362,0
4750,5.0,-32422.870000000028,20.0,4.335369662230809,0
4800,5.0,-32736.500000000033,22.0,5.048944561301348,0
4850,4.0,-33050.56500000003,43.0,5.7026128882590115,1
4900,2.0,-33401.37500000004,165.0,7.396583423306364,1
4950,3.0000000000000004,-33752.035000000025,120.0,7.426336724245585,2
