frame,time_s,vehicle_id,x_m,y_m,img_x,img_y,lane_id
0,0.0,1,21.606,11.123,1711.5,653.6,3
0,0.0,2,40.468,14.868,1542.1,591.4,4
0,0.0,3,74.026,11.592,1280.4,550.4,3
0,0.0,4,43.39,11.375,1521.3,607.7,3
1,0.033,1,22.222,11.104,1705.9,652.5,3
1,0.033,4,43.87,11.311,1517.4,607.2,3
1,0.033,3,74.311,11.595,1278.3,549.8,3
1,0.033,2,41.005,14.915,1537.5,590.1,4
2,0.067,1,22.621,11.144,1702.3,651.4,3
2,0.067,3,74.464,11.641,1277.0,549.3,3
2,0.067,2,41.47,14.85,1533.6,589.6,4
2,0.067,4,44.33,11.372,1513.5,605.9,3
3,0.1,1,23.173,11.091,1697.3,650.5,3
3,0.1,3,74.819,11.504,1274.7,549.5,3
3,0.1,2,41.824,14.992,1530.4,588.0,4
3,0.1,4,44.741,11.474,1510.0,604.5,3
4,0.133,1,23.634,11.155,1693.1,649.1,3
4,0.133,3,75.106,11.538,1272.5,548.8,3
4,0.133,2,42.446,15.05,1525.1,586.4,4
4,0.133,4,45.148,11.541,1506.5,603.3,3
5,0.167,1,23.644,11.153,1693.0,649.1,3
5,0.167,3,75.106,11.537,1272.5,548.8,3
5,0.167,2,42.445,15.05,1525.1,586.4,4
5,0.167,4,45.148,11.541,1506.5,603.3,3
6,0.2,1,24.146,11.133,1688.5,648.2,3
6,0.2,3,75.094,11.718,1272.3,547.8,3
6,0.2,2,42.878,14.981,1521.5,586.1,4
6,0.2,4,45.585,11.629,1502.8,601.9,3
7,0.233,1,24.672,11.117,1683.7,647.2,3
7,0.233,3,75.571,11.568,1269.0,547.9,3
7,0.233,4,46.131,11.526,1498.4,601.5,3
7,0.233,2,43.32,14.994,1517.8,585.1,4
8,0.267,1,25.099,11.173,1679.9,645.9,3
8,0.267,3,75.727,11.568,1267.9,547.6,3
8,0.267,2,43.853,15.041,1513.3,583.8,4
8,0.267,4,46.571,11.602,1494.7,600.2,3
9,0.3,1,25.57,11.233,1675.6,644.6,3
9,0.3,4,47.021,11.542,1491.1,599.7,3
9,0.3,2,44.245,15.131,1509.9,582.5,4
9,0.3,3,75.847,11.548,1267.0,547.5,3
10,0.333,1,25.586,11.23,1675.5,644.6,3
10,0.333,4,47.051,11.503,1490.9,599.9,3
10,0.333,2,44.243,15.132,1509.9,582.5,4
10,0.333,3,75.938,11.517,1266.4,547.5,3
11,0.367,1,26.165,11.162,1670.3,643.8,3
11,0.367,3,76.355,11.423,1263.5,547.4,3
11,0.367,2,44.693,15.216,1506.0,581.1,4
11,0.367,4,47.39,11.569,1488.0,598.8,3
12,0.4,1,26.627,11.141,1666.2,643.0,3
12,0.4,4,47.964,11.669,1483.2,597.1,3
12,0.4,3,76.627,11.433,1261.5,546.9,3
12,0.4,2,45.268,15.148,1501.3,580.4,4
13,0.433,1,27.069,11.206,1662.2,641.6,3
13,0.433,4,48.21,11.645,1481.2,596.8,3
13,0.433,2,45.667,15.138,1498.0,579.7,4
13,0.433,3,76.804,11.546,1260.0,545.9,3
14,0.467,1,27.591,11.227,1657.5,640.4,3
14,0.467,4,48.814,11.479,1476.4,596.7,3
14,0.467,2,46.16,15.15,1493.8,578.7,4
14,0.467,3,77.217,11.557,1257.0,545.1,3
15,0.5,1,27.593,11.213,1657.5,640.5,3
