vehicle_id,label,avg_speed_kmh,start_frame,end_frame,start_time_s,end_time_s
5,motor,0.9,47,65,1.566,2.166
8,motor,0.6,151,197,5.032,6.566
9,motor,0.6,277,320,9.232,10.665
14,car,1.5,761,778,25.362,25.929
16,motor,10.2,837,838,27.895,27.928
17,people,8.2,847,848,28.228,28.262
18,motor,22.4,850,853,28.328,28.428
20,people,1.9,890,892,29.661,29.728
19,people,56.2,857,922,28.562,30.728
22,car,28.5,936,943,31.194,31.428
25,car,16.8,1015,1018,33.827,33.927
24,motor,66.2,996,1034,33.194,34.461
26,car,7.3,1063,1097,35.427,36.56
27,car,1.6,1146,1169,38.193,38.96
33,car,1.3,1508,1509,50.258,50.291
35,car,9.0,1526,1530,50.858,50.991
30,van,9.6,1310,1572,43.659,52.391
42,car,16.8,1697,1699,56.557,56.623
27,car,1.9,1193,1279,39.76,42.626
41,van,0.5,1686,1727,56.19,57.556
46,car,14.8,1791,1793,59.689,59.756
31,car,1.4,1328,1431,44.259,47.692
2,car,0.8,0,1486,0.0,49.525
55,people,1.2,1943,1945,64.755,64.822
3,car,1.4,0,1512,0.0,50.391
56,people,6.9,1951,1952,65.022,65.055
32,car,4.0,1471,1520,49.025,50.658
57,people,0.6,1958,1963,65.255,65.422
58,people,4.1,1968,1969,65.588,65.622
59,people,2.9,2002,2004,66.722,66.788
36,car,2.6,1562,1641,52.057,54.69
54,motor,16.3,1920,2084,63.989,69.454
61,motor,8.3,2147,2149,71.554,71.621
63,motor,5.8,2172,2177,72.387,72.554
40,car,1.1,1681,1769,56.023,58.956
64,car,1.5,2209,2224,73.62,74.12
66,car,5.9,2236,2244,74.52,74.787
62,motor,22.6,2149,2249,71.621,74.953
67,car,1.6,2281,2284,76.02,76.12
70,car,1.8,2473,2489,82.419,82.952
45,van,0.3,1773,2169,59.09,72.287
47,car,2.5,1791,2170,59.689,72.321
75,pedestrian,1.1,2621,2627,87.351,87.551
37,car,0.9,1596,2296,53.191,76.52
79,car,2.6,2960,2986,98.649,99.516
81,motor,5.8,3001,3015,100.016,100.482
72,car,0.5,2534,2609,84.452,86.951
85,motor,3.9,3231,3256,107.681,108.514
77,car,0.4,2842,2900,94.717,96.65
78,pedestrian,0.5,2877,2936,95.883,97.849
88,pedestrian,2.2,3375,3380,112.48,112.647
87,car,2.2,3366,3413,112.18,113.747
90,car,3.4,3452,3459,115.046,115.28
80,motor,1.5,3001,3049,100.016,101.615
92,car,15.0,3569,3591,118.946,119.679
93,pedestrian,1.4,3595,3605,119.812,120.145
82,car,1.1,3045,3186,101.482,106.181
7,car,2.9,145,3651,4.832,121.678
84,motor,1.0,3158,3328,105.248,110.914
15,car,0.7,782,3910,26.062,130.31
91,motor,1.6,3490,3536,116.313,117.846
89,car,2.1,3445,3548,114.813,118.246
95,motor,1.0,3674,3719,122.445,123.945
