frame,time_s,vehicle_id,x_m,y_m,img_x,img_y,lane_id
0,0.0,1,62.582,5.361,811.7,270.6,2
0,0.0,2,68.364,8.422,795.6,289.4,3
0,0.0,3,74.068,2.438,846.0,311.5,1
0,0.0,4,69.994,5.526,818.4,296.0,2
0,0.0,5,83.801,20.824,716.1,342.7,5
0,0.0,6,77.901,14.667,758.4,322.0,4
0,0.0,7,59.509,8.632,785.6,259.6,3
0,0.0,8,7.822,2.697,780.4,120.7,1
0,0.0,9,75.315,8.638,801.1,314.2,3
0,0.0,10,49.18,0.814,829.2,229.3,1
0,0.0,11,84.089,2.05,861.8,349.9,1
0,0.0,12,56.72,1.178,834.8,252.6,1
0,0.0,13,66.145,2.047,839.4,283.6,1
0,0.0,14,50.561,8.566,778.0,231.5,3
0,0.0,15,40.534,0.598,821.8,204.1,1
0,0.0,16,82.083,9.704,800.2,339.5,3
0,0.0,17,82.769,5.831,830.9,343.4,2
1,0.033,1,62.58,5.36,811.7,270.6,2
1,0.033,2,68.365,8.424,795.6,289.4,3
1,0.033,3,74.07,2.438,846.0,311.5,1
1,0.033,4,69.994,5.526,818.4,296.0,2
1,0.033,5,83.807,20.826,716.1,342.7,5
1,0.033,6,77.901,14.666,758.4,322.0,4
1,0.033,7,59.509,8.632,785.6,259.6,3
1,0.033,9,75.327,8.666,800.9,314.3,3
1,0.033,10,49.177,0.813,829.2,229.3,1
1,0.033,11,84.09,2.05,861.8,349.9,1
1,0.033,12,56.686,1.2,834.6,252.5,1
1,0.033,8,8.441,2.698,780.8,122.1,1
1,0.033,13,66.146,2.047,839.4,283.6,1
1,0.033,14,50.563,8.566,778.0,231.5,3
1,0.033,15,40.534,0.599,821.8,204.1,1
1,0.033,16,82.082,9.703,800.2,339.5,3
1,0.033,17,82.768,5.83,830.9,343.4,2
2,0.067,1,62.58,5.36,811.7,270.6,2
2,0.067,2,68.366,8.424,795.6,289.4,3
2,0.067,3,74.069,2.437,846.0,311.5,1
2,0.067,4,69.994,5.527,818.4,296.0,2
2,0.067,5,83.799,20.825,716.1,342.7,5
2,0.067,6,77.896,14.663,758.4,322.0,4
2,0.067,7,59.508,8.632,785.6,259.6,3
2,0.067,9,75.326,8.668,800.9,314.3,3
2,0.067,11,84.085,2.051,861.8,349.8,1
2,0.067,10,49.177,0.812,829.2,229.3,1
2,0.067,12,56.687,1.199,834.7,252.5,1
2,0.067,13,66.148,2.048,839.4,283.6,1
2,0.067,14,50.561,8.565,778.0,231.5,3
2,0.067,8,8.889,2.736,780.9,123.2,1
2,0.067,15,40.532,0.6,821.8,204.1,1
2,0.067,16,82.082,9.704,800.2,339.5,3
2,0.067,17,82.768,5.83,830.9,343.4,2
3,0.1,1,62.581,5.36,811.7,270.6,2
3,0.1,2,68.367,8.424,795.6,289.4,3
3,0.1,3,74.072,2.437,846.0,311.5,1
3,0.1,4,69.995,5.526,818.4,296.0,2
3,0.1,5,83.809,20.829,716.1,342.7,5
3,0.1,6,77.9,14.663,758.4,322.0,4
3,0.1,7,59.511,8.632,785.6,259.6,3
3,0.1,11,84.091,2.052,861.8,349.9,1
3,0.1,9,75.327,8.667,800.9,314.3,3
3,0.1,10,49.179,0.813,829.2,229.3,1
3,0.1,12,56.689,1.2,834.6,252.5,1
3,0.1,13,66.151,2.049,839.4,283.6,1
3,0.1,14,50.564,8.566,778.0,231.5,3
3,0.1,8,9.246,2.795,780.9,124.0,1
3,0.1,15,40.534,0.601,821.8,204.1,1
3,0.1,16,82.084,9.705,800.2,339.5,3
3,0.1,17,82.77,5.831,830.9,343.4,2
4,0.133,1,62.58,5.36,811.7,270.6,2
4,0.133,2,68.366,8.423,795.6,289.4,3
4,0.133,3,74.071,2.438,846.0,311.5,1
4,0.133,4,69.994,5.526,818.4,296.0,2
4,0.133,6,77.898,14.663,758.4,322.0,4
4,0.133,5,83.804,20.827,716.1,342.7,5
4,0.133,7,59.512,8.632,785.6,259.6,3
4,0.133,11,84.091,2.052,861.8,349.9,1
4,0.133,9,75.326,8.664,800.9,314.3,3
4,0.133,10,49.179,0.813,829.2,229.3,1
4,0.133,12,56.689,1.199,834.7,252.5,1
4,0.133,8,9.729,2.822,781.1,125.1,1
4,0.133,13,66.151,2.049,839.4,283.6,1
4,0.133,14,50.565,8.567,778.0,231.5,3
4,0.133,15,40.535,0.601,821.8,204.1,1
4,0.133,16,82.082,9.705,800.2,339.5,3
4,0.133,17,82.77,5.83,830.9,343.4,2
5,0.167,1,62.602,5.371,811.7,270.6,2
5,0.167,2,68.386,8.427,795.6,289.5,3
5,0.167,3,74.073,2.437,846.0,311.6,1
5,0.167,4,70.0,5.527,818.4,296.0,2
5,0.167,6,77.899,14.663,758.4,322.0,4
5,0.167,5,83.805,20.828,716.1,342.7,5
5,0.167,7,59.491,8.644,785.5,259.5,3
5,0.167,11,84.092,2.053,861.8,349.9,1
5,0.167,9,75.328,8.665,800.9,314.3,3
5,0.167,10,49.18,0.814,829.2,229.3,1
5,0.167,12,56.69,1.197,834.7,252.5,1
5,0.167,8,9.729,2.822,781.1,125.1,1
5,0.167,13,66.159,2.046,839.4,283.6,1
5,0.167,14,50.572,8.568,778.0,231.5,3
5,0.167,15,40.536,0.601,821.8,204.1,1
5,0.167,16,82.082,9.705,800.2,339.5,3
5,0.167,17,82.77,5.83,830.9,343.4,2
6,0.2,1,62.616,5.386,811.6,270.7,2
6,0.2,2,68.401,8.477,795.2,289.5,3
6,0.2,3,74.082,2.445,845.9,311.6,1
6,0.2,4,70.032,5.549,818.3,296.1,2
6,0.2,6,77.915,14.682,758.2,322.0,4
6,0.2,5,83.813,20.871,715.8,342.7,5
6,0.2,7,59.478,8.639,785.5,259.4,3
6,0.2,12,56.718,1.187,834.8,252.6,1
6,0.2,11,84.083,2.055,861.8,349.8,1
6,0.2,10,49.159,0.838,829.0,229.3,1
6,0.2,9,75.317,8.678,800.8,314.2,3
6,0.2,13,66.187,2.05,839.4,283.7,1
6,0.2,14,50.593,8.597,777.8,231.6,3
6,0.2,15,40.544,0.633,821.6,204.1,1
6,0.2,8,10.041,2.89,780.9,125.8,1
6,0.2,16,82.072,9.72,800.1,339.5,3
6,0.2,17,82.745,5.842,830.7,343.3,2
7,0.233,1,62.499,5.389,811.4,270.3,2
7,0.233,2,68.334,8.472,795.2,289.3,3
7,0.233,3,74.059,2.467,845.8,311.5,1
7,0.233,4,69.971,5.54,818.3,295.9,2
7,0.233,5,83.802,20.857,715.9,342.7,5
7,0.233,6,77.932,14.714,758.0,322.1,4
7,0.233,7,59.457,8.643,785.4,259.4,3
7,0.233,9,75.282,8.648,801.0,314.1,3
7,0.233,12,56.662,1.244,834.3,252.4,1
7,0.233,10,49.16,0.836,829.0,229.3,1
7,0.233,13,66.012,2.027,839.4,283.1,1
7,0.233,16,82.032,9.696,800.2,339.3,3
7,0.233,14,50.6,8.61,777.7,231.6,3
7,0.233,11,83.932,2.07,861.5,349.2,1
7,0.233,15,40.516,0.616,821.6,204.1,1
7,0.233,8,10.628,2.964,780.9,127.1,1
7,0.233,17,82.707,5.863,830.5,343.2,2
8,0.267,1,62.5,5.39,811.4,270.3,2
8,0.267,3,74.067,2.466,845.8,311.5,1
8,0.267,2,68.34,8.47,795.2,289.3,3
8,0.267,5,83.781,20.851,715.9,342.6,5
8,0.267,4,69.99,5.51,818.5,296.0,2
8,0.267,7,59.482,8.657,785.4,259.5,3
8,0.267,6,77.937,14.714,758.0,322.1,4
8,0.267,9,75.259,8.667,800.8,314.0,3
8,0.267,12,56.67,1.24,834.3,252.5,1
8,0.267,8,11.296,2.981,781.3,128.6,1
8,0.267,10,49.208,0.851,829.0,229.4,1
8,0.267,13,66.015,2.028,839.4,283.1,1
8,0.267,16,82.03,9.698,800.2,339.3,3
8,0.267,14,50.597,8.611,777.7,231.6,3
8,0.267,11,83.92,2.067,861.5,349.2,1
8,0.267,15,40.525,0.608,821.7,204.1,1
8,0.267,17,82.784,5.886,830.4,343.5,2
9,0.3,1,62.558,5.412,811.3,270.5,2
9,0.3,3,74.079,2.475,845.7,311.6,1
9,0.3,2,68.3,8.495,795.0,289.2,3
9,0.3,5,83.789,20.839,716.0,342.6,5
9,0.3,7,59.444,8.672,785.2,259.3,3
9,0.3,4,69.97,5.562,818.1,295.9,2
9,0.3,6,77.892,14.737,757.8,321.9,4
9,0.3,9,75.218,8.692,800.6,313.8,3
9,0.3,8,11.608,2.973,781.6,129.4,1
9,0.3,12,56.656,1.254,834.2,252.4,1
9,0.3,16,82.02,9.727,800.0,339.3,3
9,0.3,13,65.996,2.03,839.3,283.1,1
9,0.3,10,49.194,0.851,829.0,229.4,1
9,0.3,14,50.546,8.634,777.5,231.4,3
9,0.3,15,40.526,0.644,821.5,204.1,1
9,0.3,17,82.788,5.904,830.3,343.5,2
9,0.3,11,83.87,2.093,861.2,349.0,1
10,0.333,1,62.588,5.425,811.2,270.6,2
10,0.333,3,74.081,2.475,845.7,311.6,1
10,0.333,2,68.299,8.496,795.0,289.1,3
10,0.333,5,83.791,20.841,716.0,342.6,5
10,0.333,7,59.448,8.674,785.2,259.3,3
10,0.333,4,69.967,5.563,818.1,295.9,2
10,0.333,6,77.891,14.736,757.8,321.9,4
10,0.333,9,75.218,8.692,800.6,313.8,3
10,0.333,8,11.605,2.973,781.6,129.4,1
10,0.333,13,65.998,2.027,839.3,283.1,1
10,0.333,12,56.645,1.26,834.2,252.4,1
10,0.333,16,82.021,9.728,800.0,339.3,3
10,0.333,10,49.204,0.869,828.8,229.4,1
10,0.333,14,50.545,8.638,777.5,231.4,3
10,0.333,15,40.536,0.644,821.5,204.1,1
10,0.333,17,82.786,5.907,830.3,343.5,2
10,0.333,11,83.887,2.089,861.3,349.0,1
11,0.367,1,62.604,5.43,811.2,270.6,2
11,0.367,3,74.086,2.479,845.7,311.6,1
11,0.367,2,68.305,8.496,795.0,289.2,3
11,0.367,5,83.795,20.847,716.0,342.7,5
11,0.367,4,69.97,5.564,818.1,295.9,2
11,0.367,6,77.897,14.737,757.8,321.9,4
11,0.367,7,59.434,8.676,785.2,259.3,3
11,0.367,8,12.006,3.021,781.6,130.3,1
11,0.367,9,75.219,8.692,800.6,313.9,3
11,0.367,13,65.987,2.025,839.3,283.0,1
11,0.367,12,56.658,1.275,834.1,252.4,1
11,0.367,16,82.018,9.727,800.0,339.3,3
11,0.367,10,49.144,0.841,829.0,229.2,1
11,0.367,14,50.545,8.64,777.5,231.4,3
11,0.367,15,40.49,0.635,821.5,204.0,1
11,0.367,17,82.787,5.906,830.3,343.5,2
11,0.367,11,83.895,2.089,861.3,349.1,1
12,0.4,1,62.606,5.429,811.2,270.6,2
12,0.4,3,74.086,2.477,845.7,311.6,1
12,0.4,2,68.305,8.496,795.0,289.2,3
12,0.4,5,83.807,20.859,715.9,342.7,5
12,0.4,4,69.969,5.565,818.1,295.9,2
12,0.4,6,77.893,14.733,757.8,321.9,4
12,0.4,7,59.441,8.676,785.2,259.3,3
12,0.4,8,12.283,3.032,781.8,130.9,1
12,0.4,9,75.218,8.693,800.6,313.8,3
12,0.4,13,65.981,2.026,839.3,283.0,1
12,0.4,12,56.64,1.265,834.1,252.4,1
12,0.4,16,82.015,9.726,800.0,339.2,3
12,0.4,14,50.514,8.642,777.4,231.3,3
12,0.4,15,40.497,0.634,821.5,204.0,1
12,0.4,10,49.151,0.841,829.0,229.2,1
12,0.4,17,82.784,5.906,830.3,343.5,2
12,0.4,11,83.88,2.091,861.2,349.0,1
13,0.433,1,62.598,5.426,811.3,270.6,2
