vehicle_id,label,avg_speed_kmh,start_frame,end_frame,start_time_s,end_time_s
5,car,10.2,0,75,0.0,2.5
6,car,17.3,0,181,0.0,6.032
26,pedestrian,1.1,785,805,26.162,26.829
28,car,6.8,957,987,31.894,32.894
11,van,12.6,0,1083,0.0,36.094
21,van,18.3,464,1093,15.464,36.427
16,car,16.5,0,1102,0.0,36.727
17,van,13.7,0,1102,0.0,36.727
3,car,25.3,0,1152,0.0,38.393
9,van,23.9,0,1176,0.0,39.193
22,car,21.8,481,1177,16.03,39.226
4,car,22.5,0,1201,0.0,40.026
24,car,20.6,637,1203,21.23,40.093
32,van,2.3,1168,1228,38.926,40.926
33,truck,12.5,1221,1229,40.693,40.959
1,car,31.7,0,1236,0.0,41.193
2,car,21.4,0,1237,0.0,41.226
34,truck,13.6,1233,1246,41.093,41.526
24,van,19.3,1224,1270,40.793,42.326
13,van,27.2,0,1273,0.0,42.426
7,car,21.4,0,1301,0.0,43.359
12,car,30.2,0,1330,0.0,44.325
14,van,24.6,0,1333,0.0,44.425
8,car,27.3,0,1342,0.0,44.725
37,truck,9.1,1335,1346,44.492,44.859
10,car,34.8,0,1375,0.0,45.825
18,car,29.5,74,1393,2.466,46.425
20,van,25.2,233,1420,7.765,47.325
15,car,34.5,0,1433,0.0,47.758
23,truck,22.9,565,1463,18.83,48.758
27,car,36.0,834,1468,27.795,48.925
40,van,36.1,1467,1487,48.891,49.558
19,van,39.2,207,1506,6.899,50.191
42,car,10.7,1503,1509,50.091,50.291
31,van,35.9,1088,1516,36.26,50.524
30,car,38.6,1029,1534,34.294,51.124
25,car,43.2,681,1559,22.696,51.957
45,car,1.6,1563,1580,52.091,52.657
36,car,46.2,1302,1589,43.392,52.957
29,van,41.6,1016,1607,33.861,53.557
38,van,43.8,1367,1627,45.559,54.224
35,car,39.7,1299,1645,43.292,54.824
39,car,52.5,1444,1674,48.125,55.79
51,car,1.2,1661,1679,55.357,55.957
41,car,51.3,1467,1682,48.891,56.057
43,car,50.4,1519,1738,50.624,57.923
55,car,13.2,1733,1745,57.756,58.156
48,car,53.1,1572,1784,52.391,59.456
44,car,32.2,1559,1788,51.957,59.589
49,car,51.0,1581,1789,52.691,59.623
50,car,51.9,1651,1841,55.024,61.356
52,van,56.1,1668,1846,55.59,61.522
62,car,3.8,1847,1858,61.556,61.922
63,van,6.1,1862,1864,62.056,62.122
53,car,30.5,1721,1869,57.357,62.289
62,car,0.8,1882,1886,62.722,62.856
66,car,14.2,1887,1889,62.889,62.956
56,car,57.8,1742,1896,58.056,63.189
54,van,51.2,1728,1928,57.59,64.255
57,car,47.0,1753,1934,58.423,64.455
58,van,50.9,1761,1959,58.69,65.288
71,van,10.1,1988,1999,66.255,66.622
60,car,55.5,1832,2009,61.056,66.955
61,van,55.3,1834,2027,61.123,67.555
65,car,58.9,1876,2032,62.522,67.721
46,car,1.1,1564,1607,52.124,53.557
64,car,54.4,1866,2052,62.189,68.388
67,van,32.7,1901,2098,63.355,69.921
68,van,56.9,1940,2119,64.655,70.621
70,car,53.7,1972,2153,65.722,71.754
80,car,1.1,2137,2159,71.221,71.954
75,van,65.0,2064,2202,68.788,73.387
74,van,54.8,2046,2224,68.188,74.12
73,van,45.0,2017,2237,67.221,74.553
78,van,58.6,2122,2279,70.721,75.953
76,van,34.1,2065,2297,68.821,76.553
82,car,63.3,2179,2322,72.62,77.386
83,car,70.8,2219,2349,73.954,78.286
81,car,55.2,2169,2358,72.287,78.586
85,car,21.5,2291,2407,76.353,80.219
87,car,0.8,2451,2459,81.686,81.952
84,car,16.6,2225,2516,74.154,83.852
72,car,0.6,2011,2082,67.021,69.388
59,van,0.5,1802,2155,60.056,71.821
86,car,19.6,2343,2627,78.086,87.551
88,van,67.9,2551,2688,85.018,89.584
79,car,0.7,2135,2309,71.154,76.953
89,van,62.3,2689,2837,89.617,94.55
90,car,68.1,2858,2993,95.25,99.749
91,van,64.6,2966,3076,98.849,102.515
95,car,54.8,3078,3083,102.582,102.748
93,car,73.3,3000,3119,99.982,103.948
92,car,33.1,2974,3159,99.116,105.281
94,car,76.8,3061,3180,102.015,105.981
96,van,77.3,3085,3199,102.815,106.614
97,car,66.7,3133,3275,104.415,109.147
98,car,76.0,3210,3325,106.981,110.814
99,car,60.8,3236,3382,107.848,112.713
100,car,33.9,3310,3489,110.314,116.279
102,car,25.3,3496,3578,116.513,119.246
101,car,27.8,3442,3633,114.713,121.079
104,car,22.0,3543,3793,118.079,126.411
111,van,28.6,3769,3817,125.611,127.211
