frame,time_s,vehicle_id,x_m,y_m,img_x,img_y
0,0.0,1,54.905,4.97,525.9,437.8
0,0.0,2,25.84,0.695,346.7,374.5
0,0.0,3,58.591,1.868,564.3,427.2
0,0.0,4,66.885,1.798,622.7,439.1
0,0.0,5,33.729,1.153,397.3,387.8
0,0.0,6,49.626,1.614,503.3,412.8
0,0.0,7,40.329,1.078,442.1,396.8
0,0.0,8,78.829,8.223,683.5,491.7
0,0.0,9,74.526,2.453,674.4,453.9
0,0.0,10,17.032,0.165,291.2,359.8
0,0.0,11,12.044,0.628,256.5,355.2
0,0.0,12,44.473,13.171,417.3,465.5
1,0.033,2,25.842,0.699,346.7,374.5
1,0.033,1,55.558,4.936,530.6,438.6
1,0.033,4,66.889,1.799,622.7,439.1
1,0.033,6,49.607,1.613,503.1,412.8
1,0.033,3,58.571,1.862,564.2,427.1
1,0.033,5,33.729,1.154,397.3,387.8
1,0.033,7,40.331,1.082,442.1,396.8
1,0.033,10,16.999,0.142,291.1,359.7
1,0.033,9,74.524,2.469,674.4,454.0
1,0.033,11,12.042,0.631,256.5,355.2
1,0.033,12,44.489,13.188,417.3,465.6
2,0.067,1,56.275,4.879,535.8,439.4
2,0.067,2,25.83,0.708,346.6,374.6
2,0.067,4,66.897,1.802,622.8,439.1
2,0.067,6,49.613,1.611,503.2,412.8
2,0.067,3,58.497,1.896,563.5,427.2
2,0.067,5,33.706,1.156,397.1,387.8
2,0.067,7,40.323,1.094,442.0,396.9
2,0.067,10,16.982,0.129,291.0,359.6
2,0.067,9,74.369,2.349,673.7,453.1
2,0.067,11,11.999,0.626,256.2,355.1
2,0.067,12,44.493,13.178,417.4,465.5
3,0.1,2,25.834,0.712,346.6,374.6
3,0.1,1,56.811,4.899,539.5,440.3
3,0.1,4,66.898,1.798,622.8,439.1
3,0.1,6,49.618,1.606,503.3,412.8
3,0.1,5,33.682,1.126,397.1,387.6
3,0.1,7,40.319,1.077,442.0,396.8
3,0.1,3,58.509,1.883,563.6,427.1
3,0.1,10,17.039,0.135,291.4,359.7
3,0.1,9,74.498,2.477,674.2,454.0
3,0.1,11,12.059,0.609,256.7,355.1
3,0.1,12,44.487,13.187,417.3,465.6
