vehicle_id,label,avg_speed_kmh,start_frame,end_frame,start_time_s,end_time_s
12,car,0.4,0,15,0.0,0.5
13,truck,0.6,26,29,0.867,0.966
1,car,58.7,0,42,0.0,1.4
9,car,9.9,0,205,0.0,6.832
4,car,17.0,0,275,0.0,9.165
3,car,22.1,0,334,0.0,11.131
6,car,23.6,0,382,0.0,12.731
7,car,26.3,0,439,0.0,14.631
5,car,26.8,0,478,0.0,15.931
2,car,26.7,0,530,0.0,17.664
17,car,2.4,573,576,19.097,19.197
10,car,27.2,0,591,0.0,19.697
11,car,27.1,0,636,0.0,21.196
16,car,45.9,543,685,18.097,22.829
15,truck,3.4,451,531,15.031,17.697
14,car,0.5,451,539,15.031,17.963
18,car,1.0,1004,1019,33.461,33.961
19,car,3.2,1141,1169,38.027,38.96
20,motor,1.0,1175,1182,39.16,39.393
22,car,1.2,1261,1282,42.026,42.726
23,motor,0.5,1351,1368,45.025,45.592
18,car,0.2,1042,1079,34.727,35.96
34,van,0.6,2135,2152,71.154,71.721
26,car,1.2,1611,2533,53.691,84.418
42,car,2.7,2578,2605,85.918,86.818
28,car,8.9,1837,3109,61.223,103.615
45,car,3.3,3259,3432,108.614,114.38
46,car,2.8,3481,3509,116.013,116.946
44,car,2.2,2841,3080,94.683,102.649
49,car,3.8,3591,3598,119.679,119.912
51,pedestrian,3.1,3701,3712,123.345,123.711
51,pedestrian,1.9,3730,3736,124.311,124.511
35,car,2.3,2169,3450,72.287,114.98
48,car,0.3,3551,3776,118.346,125.844
