frame,time_s,vehicle_id,x_m,y_m,img_x,img_y,lane_id
0,0.0,1,26.636,21.934,1264.2,830.7,5
0,0.0,2,36.812,21.132,1210.0,753.6,5
0,0.0,3,24.676,16.846,1217.3,843.3,5
0,0.0,4,25.037,9.079,1126.7,835.3,3
0,0.0,5,36.826,16.896,1165.3,750.0,5
0,0.0,6,38.769,6.252,1042.1,726.9,2
0,0.0,7,9.993,21.22,1343.0,975.8,5
0,0.0,8,1.308,21.26,1395.8,1063.9,5
1,0.033,1,26.653,21.948,1264.3,830.6,5
1,0.033,2,36.81,21.133,1210.0,753.6,5
1,0.033,3,24.76,16.87,1217.2,842.6,5
1,0.033,4,25.086,9.076,1126.4,834.9,3
1,0.033,5,36.822,16.892,1165.3,750.1,5
1,0.033,6,38.767,6.254,1042.1,726.9,2
1,0.033,7,9.991,21.219,1343.0,975.8,5
1,0.033,8,1.309,21.261,1395.9,1063.9,5
2,0.067,1,26.642,21.942,1264.3,830.7,5
2,0.067,2,36.81,21.133,1210.0,753.6,5
2,0.067,3,24.84,16.859,1216.7,842.0,5
2,0.067,4,25.16,9.086,1126.2,834.3,3
2,0.067,5,36.824,16.892,1165.3,750.0,5
2,0.067,6,38.768,6.256,1042.1,726.9,2
2,0.067,8,1.31,21.263,1395.9,1063.9,5
2,0.067,7,9.991,21.218,1343.0,975.8,5
3,0.1,1,26.648,21.944,1264.3,830.7,5
3,0.1,2,36.81,21.135,1210.0,753.6,5
3,0.1,3,24.892,16.873,1216.6,841.5,5
3,0.1,4,25.269,9.109,1126.0,833.4,3
3,0.1,5,36.822,16.893,1165.3,750.1,5
3,0.1,6,38.762,6.26,1042.2,726.9,2
3,0.1,8,1.307,21.264,1395.9,1063.9,5
3,0.1,7,9.991,21.219,1343.0,975.8,5
4,0.133,1,26.62,21.925,1264.2,830.9,5
4,0.133,2,36.815,21.136,1210.0,753.6,5
4,0.133,3,24.953,16.848,1216.0,841.0,5
4,0.133,4,25.324,9.117,1125.9,832.9,3
4,0.133,5,36.827,16.895,1165.3,750.0,5
4,0.133,6,38.758,6.261,1042.2,727.0,2
4,0.133,8,1.306,21.263,1395.9,1063.9,5
4,0.133,7,9.993,21.22,1343.0,975.8,5
5,0.167,1,26.629,21.929,1264.2,830.8,5
5,0.167,2,36.82,21.131,1210.0,753.5,5
5,0.167,3,24.955,16.847,1216.0,841.0,5
5,0.167,4,25.324,9.117,1125.9,832.9,3
5,0.167,5,36.824,16.891,1165.3,750.0,5
5,0.167,6,38.759,6.262,1042.2,727.0,2
5,0.167,8,1.31,21.258,1395.8,1063.9,5
5,0.167,7,9.993,21.22,1343.0,975.8,5
6,0.2,1,26.719,21.969,1264.2,830.1,5
6,0.2,2,36.807,21.103,1209.7,753.6,5
6,0.2,3,25.061,16.852,1215.6,840.2,5
6,0.2,4,25.396,9.128,1125.7,832.3,3
6,0.2,5,36.824,16.884,1165.2,750.0,5
6,0.2,6,38.766,6.234,1041.9,726.9,2
6,0.2,7,9.994,21.22,1343.0,975.8,5
6,0.2,8,1.319,21.263,1395.8,1063.8,5
7,0.233,1,26.754,21.98,1264.2,829.8,5
7,0.233,2,36.809,21.086,1209.5,753.6,5
7,0.233,4,25.46,9.138,1125.6,831.8,3
7,0.233,3,25.112,16.851,1215.3,839.7,5
7,0.233,6,38.764,6.213,1041.6,726.9,2
7,0.233,5,36.84,16.85,1164.8,749.9,5
7,0.233,7,10.026,21.213,1342.7,975.5,5
7,0.233,8,1.319,21.265,1395.8,1063.8,5
8,0.267,1,26.792,21.973,1263.9,829.5,5
8,0.267,2,36.846,21.087,1209.4,753.3,5
8,0.267,3,25.248,16.854,1214.7,838.6,5
8,0.267,4,25.518,9.138,1125.3,831.3,3
8,0.267,5,36.846,16.818,1164.4,749.8,5
8,0.267,6,38.799,6.191,1041.3,726.6,2
8,0.267,7,10.026,21.212,1342.7,975.5,5
8,0.267,8,1.355,21.276,1395.7,1063.4,5
9,0.3,1,26.785,21.97,1263.9,829.6,5
9,0.3,2,36.848,21.089,1209.4,753.3,5
9,0.3,3,25.288,16.842,1214.4,838.3,5
9,0.3,4,25.535,9.117,1125.0,831.2,3
9,0.3,5,36.852,16.832,1164.5,749.8,5
9,0.3,6,38.798,6.176,1041.1,726.6,2
9,0.3,7,10.03,21.216,1342.7,975.4,5
9,0.3,8,1.355,21.265,1395.6,1063.4,5
10,0.333,1,26.752,21.968,1264.0,829.9,5
10,0.333,2,36.856,21.08,1209.3,753.2,5
10,0.333,3,25.288,16.84,1214.4,838.3,5
10,0.333,4,25.539,9.12,1125.0,831.1,3
10,0.333,5,36.853,16.833,1164.5,749.8,5
10,0.333,6,38.798,6.168,1041.0,726.6,2
