vehicle_id,label,avg_speed_kmh,start_frame,end_frame,start_time_s,end_time_s
2,motor,47.6,5,59,0.083,0.983
5,motor,20.5,95,97,1.583,1.617
6,motor,29.1,99,227,1.65,3.783
9,motor,0.5,366,398,6.1,6.633
9,motor,0.5,439,449,7.317,7.483
12,motor,2.7,1084,1100,18.067,18.333
13,motor,1.6,1134,1174,18.9,19.567
14,motor,0.2,1274,1280,21.233,21.333
9,motor,0.4,511,615,8.517,10.25
19,motor,0.0,1775,1821,29.583,30.35
18,van,18.8,1713,1855,28.55,30.917
10,motor,0.4,838,988,13.967,16.467
20,motor,37.0,2081,2149,34.683,35.817
22,motor,40.2,2193,2297,36.55,38.283
16,motor,0.1,1356,1462,22.6,24.367
25,motor,4.1,2393,2415,39.883,40.25
24,van,19.2,2349,2492,39.15,41.533
28,pedestrian,2.1,2582,2588,43.033,43.133
29,motor,0.2,2648,2658,44.133,44.3
1,van,16.2,0,2762,0.0,46.033
18,car,11.5,1892,2813,31.533,46.883
31,tricycle,0.7,2818,2846,46.967,47.433
7,van,19.0,175,2918,2.917,48.633
23,van,13.1,2259,2964,37.65,49.4
33,pedestrian,5.0,3004,3018,50.067,50.3
32,van,11.7,2850,3020,47.5,50.333
8,van,22.3,205,3026,3.417,50.433
27,van,22.2,2516,3104,41.933,51.733
11,van,22.7,908,3212,15.133,53.533
30,van,17.6,2704,3278,45.067,54.633
37,motor,3.8,3266,3292,54.433,54.867
35,car,15.6,3128,3296,52.133,54.933
15,van,25.5,1298,3328,21.633,55.467
36,car,20.6,3156,3360,52.6,56.0
17,van,26.7,1471,3398,24.517,56.633
34,car,18.9,3078,3429,51.3,57.15
26,tricycle,2.0,2422,2565,40.367,42.75
40,pedestrian,3.3,3503,3521,58.383,58.683
41,pedestrian,2.8,3543,3567,59.05,59.45
39,car,20.8,3326,3593,55.433,59.883
43,pedestrian,0.9,3613,3619,60.217,60.317
36,van,30.0,3414,3627,56.9,60.45
42,pedestrian,2.4,3609,3627,60.15,60.45
45,pedestrian,1.4,3659,3673,60.983,61.217
44,car,31.4,3619,3723,60.317,62.05
47,pedestrian,1.2,3909,3911,65.15,65.183
46,car,33.4,3741,3931,62.35,65.517
50,motor,1.4,4041,4055,67.35,67.583
49,van,34.1,3993,4195,66.55,69.917
51,car,28.8,4349,4410,72.483,73.5
54,motor,5.6,4540,4542,75.667,75.7
55,pedestrian,2.4,4544,4554,75.733,75.9
52,car,30.0,4460,4570,74.333,76.167
56,motor,0.5,4676,4686,77.933,78.1
53,car,24.3,4522,4728,75.367,78.8
58,car,25.5,4724,4730,78.733,78.833
57,motor,36.6,4684,4756,78.067,79.267
59,motor,65.1,4794,4946,79.9,82.433
58,van,23.3,4771,5032,79.517,83.867
60,car,30.1,5068,5168,84.467,86.133
61,car,26.9,5188,5366,86.467,89.433
64,motor,53.9,5374,5431,89.567,90.517
62,van,28.5,5202,5457,86.7,90.95
64,motor,59.7,5463,5557,91.05,92.617
67,van,33.0,5703,5943,95.05,99.05
66,car,27.3,5693,5999,94.883,99.983
71,van,0.6,6299,6315,104.983,105.25
73,van,33.1,6323,6329,105.383,105.483
75,motor,0.4,6782,6862,113.033,114.367
78,motor,0.2,6994,7046,116.567,117.433
70,motor,0.2,6109,6179,101.817,102.983
78,motor,1.1,7085,7093,118.083,118.217
79,car,0.2,7152,7215,119.2,120.25
80,van,16.9,7168,7306,119.467,121.767
82,motor,52.8,8322,8344,138.7,139.067
83,motor,26.6,8348,8354,139.133,139.233
86,motor,15.3,8438,8442,140.633,140.7
89,motor,13.7,8488,8492,141.467,141.533
84,van,12.6,8412,8618,140.2,143.633
91,motor,3.7,8682,8704,144.7,145.067
93,car,11.6,8692,8865,144.867,147.75
96,car,0.2,9163,9172,152.717,152.867
90,motor,3.6,8676,8746,144.6,145.767
69,van,12.2,6067,9727,101.117,162.117
97,car,11.1,9375,9745,156.25,162.417
81,van,11.2,7350,9809,122.5,163.483
94,car,0.2,8694,8952,144.9,149.2
72,van,16.5,6323,9873,105.383,164.55
92,van,12.2,8688,10019,144.8,166.983
73,van,19.5,6364,10033,106.067,167.217
68,van,0.4,5813,9249,96.883,154.15
74,van,19.9,6774,10184,112.9,169.733
98,truck,21.0,10048,10190,167.467,169.833
101,van,33.7,10188,10230,169.8,170.5
95,van,34.1,8894,10236,148.233,170.6
77,van,20.8,6900,10328,115.0,172.133
104,pedestrian,3.7,10390,10420,173.167,173.667
100,truck,22.5,10168,10432,169.467,173.867
105,truck,20.0,10438,10440,173.967,174.0
76,van,24.6,6898,10488,114.967,174.8
99,car,25.0,10128,10746,168.8,179.1
107,pedestrian,3.6,10750,10756,179.167,179.267
107,pedestrian,4.0,10793,10818,179.883,180.3
103,van,22.9,10364,10892,172.733,181.533
106,van,24.3,10542,11079,175.7,184.65
108,van,24.0,10782,11241,179.7,187.35
111,van,22.7,11219,11271,186.983,187.85
112,van,22.1,11241,11271,187.35,187.85
110,van,17.2,11175,11357,186.25,189.283
114,motor,0.1,11319,11359,188.65,189.317
109,car,23.1,11004,11415,183.4,190.25
115,bus,22.6,11335,11415,188.917,190.25
113,truck,15.5,11313,11491,188.55,191.517
118,bus,25.7,11503,11509,191.717,191.817
117,van,24.8,11433,11553,190.55,192.55
120,truck,7.2,11595,11599,193.25,193.317
121,motor,0.6,11707,11723,195.117,195.383
116,van,28.9,11421,11763,190.35,196.05
119,van,29.3,11589,11941,193.15,199.017
122,motor,0.4,12054,12315,200.9,205.25
127,car,7.6,12930,13215,215.5,220.25
129,bus,15.1,13147,13269,219.117,221.15
134,motor,31.9,13633,13687,227.217,228.117
137,van,10.1,13967,14202,232.783,236.7
132,tricycle,0.1,13318,13479,221.967,224.65
126,van,8.4,12636,14584,210.6,243.067
140,van,17.9,14608,14640,243.467,244.0
141,van,17.9,14628,14640,243.8,244.0
123,van,14.6,12096,14718,201.6,245.3
144,motor,15.8,14764,14766,246.067,246.1
140,bus,4.0,14681,14778,244.683,246.3
130,bus,9.2,13181,14824,219.683,247.067
145,bus,12.6,14822,14824,247.033,247.067
124,van,16.4,12232,14830,203.867,247.167
