vehicle_id,label,avg_speed_kmh,start_frame,end_frame,start_time_s,end_time_s
1,van,10.5,812,2620,13.533,43.667
2,van,23.2,5380,5687,89.667,94.783
3,van,25.0,5543,5721,92.383,95.35
4,van,12.7,5717,9695,95.283,161.583
5,car,13.7,5835,9841,97.25,164.017
6,car,19.0,9030,10100,150.5,168.333
10,car,0.7,12594,14061,209.9,234.35
9,car,0.4,12440,14115,207.333,235.25
7,van,0.7,12130,14340,202.167,239.0
11,van,14.1,14428,15281,240.467,254.683
13,car,6.8,15303,15314,255.05,255.233
8,van,13.8,12282,15465,204.7,257.75
12,car,19.4,14962,15587,249.367,259.783
13,car,18.7,15364,15715,256.067,261.917
18,motor,0.1,20490,20502,341.5,341.7
14,car,13.9,17811,20734,296.85,345.567
19,motor,0.7,20736,20798,345.6,346.633
15,van,16.4,17969,20896,299.483,348.267
20,motor,0.8,20892,20914,348.2,348.567
16,car,20.5,18180,21040,303.0,350.667
22,motor,28.5,21093,21135,351.55,352.25
17,car,26.2,18782,21195,313.033,353.25
23,motor,80.7,22444,22600,374.067,376.667
24,van,37.1,22480,22728,374.667,378.8
25,motor,0.9,22738,22740,378.967,379.0
26,motor,60.4,23052,23255,384.2,387.583
28,pedestrian,5.3,26348,26369,439.133,439.483
29,pedestrian,5.0,26712,26758,445.2,445.967
32,motor,37.2,29351,29489,489.183,491.483
30,motor,40.3,29299,29507,488.317,491.783
34,pedestrian,7.2,32604,32612,543.4,543.533
35,pedestrian,5.1,32652,32666,544.2,544.433
36,pedestrian,3.2,32676,32688,544.6,544.8
33,van,13.8,30108,32801,501.8,546.683
37,car,41.5,35691,35820,594.85,597.0
40,truck,24.4,36719,36845,611.983,614.083
42,bus,73.4,36923,36928,615.383,615.467
41,truck,9.8,36881,36975,614.683,616.25
44,bus,16.0,37075,37094,617.917,618.233
45,bus,8.2,37109,37226,618.483,620.433
46,bus,10.3,37187,37405,619.783,623.417
48,bus,1.7,37842,37896,630.7,631.6
48,bus,0.4,37955,37972,632.583,632.867
43,van,5.1,37007,37275,616.783,621.25
49,truck,0.6,38183,38202,636.383,636.7
49,bus,1.1,38263,38343,637.717,639.05
50,bus,1.3,38306,38343,638.433,639.05
38,car,15.1,35694,38416,594.9,640.267
46,bus,2.2,37443,37647,624.05,627.45
47,bus,1.3,37347,37725,622.45,628.75
39,van,16.5,35974,38612,599.567,643.533
50,bus,20.8,38381,38815,639.683,646.917
54,bus,0.4,42302,42312,705.033,705.2
53,car,0.3,42246,42348,704.1,705.8
52,van,1.0,42236,42390,703.933,706.5
51,van,3.3,41269,44302,687.817,738.367
