Minute;lane_id;n_vehicles;avg_speed_kmh
1;1;34;8,1
1;2;15;9,24
1;3;9;7,62
1;4;1;1,55
2;1;42;4,41
2;2;8;3,51
2;3;21;4,54
2;4;1;3,41
3;1;13;7,82
3;2;13;13,22
3;3;11;7,09
3;4;1;5,16
4;1;25;4,75
4;2;8;4,83
4;3;9;5,1
4;4;3;3,43
5;1;15;6,91
5;2;13;5,52
5;3;16;4,95
5;4;10;4,12
6;1;13;10,42
6;2;10;8,31
6;3;11;5,81
6;4;4;3,37
7;1;16;6,05
7;2;13;9,9
7;3;18;4,49
7;4;10;6,06
8;1;7;4,17
8;2;6;7,06
8;3;18;8,33
8;4;3;8,11
9;1;11;2,81
9;2;12;7,12
9;3;10;4,28
9;4;4;3,19
10;1;9;3,14
10;2;4;4,15
10;3;11;4,03
10;4;12;4,15
11;1;6;5,1
11;2;6;8,93
11;3;10;6,83
11;4;9;4,43
12;1;9;4,37
12;2;12;3,57
12;3;9;4,28
12;4;7;4,15
13;1;9;4,45
13;2;7;9,75
13;3;16;6,12
13;4;7;5,09
