vehicle_id,label,avg_speed_kmh,start_frame,end_frame,start_time_s,end_time_s
16,motor,1.1,57,113,0.95,1.883
18,motor,5.2,151,207,2.517,3.45
21,pedestrian,11.3,273,343,4.55,5.717
22,motor,7.5,351,355,5.85,5.917
23,motor,2.4,371,387,6.183,6.45
12,van,5.3,0,484,0.0,8.067
25,truck,1.3,474,488,7.9,8.133
26,van,2.8,496,506,8.267,8.433
6,van,4.5,0,640,0.0,10.667
28,van,2.6,640,650,10.667,10.833
29,car,6.7,650,656,10.833,10.933
24,truck,10.4,422,704,7.033,11.733
31,car,14.0,732,734,12.2,12.233
1,bus,5.7,0,740,0.0,12.333
27,car,5.5,510,766,8.5,12.767
2,van,6.1,0,774,0.0,12.9
32,truck,11.8,780,854,13.0,14.233
8,truck,6.2,0,862,0.0,14.367
3,van,6.3,0,876,0.0,14.6
32,truck,1.0,898,915,14.967,15.25
8,bus,21.4,909,926,15.15,15.433
26,van,5.4,551,934,9.183,15.567
36,truck,61.3,936,960,15.6,16.0
30,bus,8.8,732,970,12.2,16.167
30,bus,34.1,1015,1018,16.917,16.967
15,motor,1.0,31,169,0.517,2.817
10,van,7.4,0,1065,0.0,17.75
5,car,6.5,0,1146,0.0,19.1
14,bus,7.1,17,297,0.283,4.95
19,pedestrian,1.5,211,327,3.517,5.45
39,pedestrian,2.6,1150,1199,19.167,19.983
37,car,4.5,1030,1215,17.167,20.25
34,car,4.6,820,1218,13.667,20.3
4,car,3.6,0,357,0.0,5.95
20,pedestrian,0.7,241,358,4.017,5.967
17,van,1.1,59,440,0.983,7.333
35,van,4.7,930,1338,15.5,22.3
9,van,10.1,0,1356,0.0,22.6
11,van,4.0,0,532,0.0,8.867
38,van,8.9,1142,1463,19.033,24.383
7,car,4.6,0,620,0.0,10.333
41,car,6.4,1232,1529,20.533,25.483
13,van,4.8,0,734,0.0,12.233
43,car,7.9,1489,1613,24.817,26.883
40,van,7.3,1182,1659,19.7,27.65
33,pedestrian,0.4,783,848,13.05,14.133
45,van,7.0,1541,1789,25.683,29.817
46,van,7.9,1657,1873,27.617,31.217
47,van,13.7,1709,1975,28.483,32.917
49,van,12.0,1917,2165,31.95,36.083
50,car,8.8,2145,2209,35.75,36.817
42,van,6.8,1358,1489,22.633,24.817
53,pedestrian,1.5,2534,2548,42.233,42.467
59,motor,13.5,3623,3643,60.383,60.717
60,motor,9.2,3655,3669,60.917,61.15
61,motor,5.8,3679,3683,61.317,61.383
62,motor,14.6,3691,3717,61.517,61.95
65,motor,14.2,4007,4081,66.783,68.017
66,motor,5.4,4111,4279,68.517,71.317
67,pedestrian,6.6,4291,4346,71.517,72.433
70,motor,11.4,4564,4576,76.067,76.267
71,motor,12.3,4588,4615,76.467,76.917
73,motor,0.9,4846,4860,80.767,81.0
74,motor,12.6,4854,4922,80.9,82.033
75,motor,2.8,4910,4936,81.833,82.267
